dataset,feature_set,model,k_pct,auc_mean,auc_std,ap_mean,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v0_baseline,DEBATE25,LogReg,30,0.5527618059064815,0.019866142633711042,0.1538922935779698,0.15305164319248826,0.0102915072624366,0.36836158192090396,0.024769390360440645,1.434276150673688,0.17200227032683968
v0_baseline,DEBATE25,RF,1,0.5625187223716976,0.018712271669649727,0.15852789895874655,0.22999999999999998,0.09787209698591859,0.019491525423728815,0.008294245507281237,2.469155959687511,1.2792006317221127
v0_baseline,DEBATE25,RF,5,0.5625187223716976,0.018712271669649727,0.15852789895874655,0.2035211267605634,0.04199948343066081,0.08163841807909604,0.0168472504156888,1.9385528907413392,0.5235939641334042
v0_baseline,DEBATE25,RF,10,0.5625187223716976,0.018712271669649727,0.15852789895874655,0.17746478873239435,0.02126222937559566,0.1423728813559322,0.017057833736353577,1.6291512169644844,0.2647074339422195
v0_baseline,DEBATE25,RF,15,0.5625187223716976,0.018712271669649727,0.15852789895874655,0.16291079812206571,0.018969876033613615,0.196045197740113,0.02282815590485706,1.4774174232921302,0.24722688175144747
v0_baseline,DEBATE25,RF,20,0.5625187223716976,0.018712271669649727,0.15852789895874655,0.15862676056338026,0.015766628998055,0.25451977401129944,0.025297867996879216,1.450811872045724,0.2252569129921527
v0_baseline,DEBATE25,RF,25,0.5625187223716976,0.018712271669649727,0.15852789895874655,0.15422535211267605,0.012823457295779241,0.3093220338983051,0.02571936350283406,1.418402159767569,0.20204331867235092
v0_baseline,DEBATE25,RF,30,0.5625187223716976,0.018712271669649727,0.15852789895874655,0.1523474178403756,0.0111126191101831,0.36666666666666664,0.026745625655016956,1.4239144055123387,0.1918121480860138
v0_baseline,DEBATE5,GBT,1,0.5395384622388543,0.018026639975065473,0.14857499404908683,0.18333333333333332,0.08885233166386386,0.015536723163841809,0.007529858615581683,1.9039468671937612,1.0648347896240242
v0_baseline,DEBATE5,GBT,5,0.5395384622388543,0.018026639975065473,0.14857499404908683,0.17887323943661973,0.05111030863346192,0.07175141242937853,0.020501875214552524,1.6566222850825407,0.5754929140138607
v0_baseline,DEBATE5,GBT,10,0.5395384622388543,0.018026639975065473,0.14857499404908683,0.1602112676056338,0.030386667899362774,0.1285310734463277,0.024378004755420988,1.430384983764967,0.383008013523706
v0_baseline,DEBATE5,GBT,15,0.5395384622388543,0.018026639975065473,0.14857499404908683,0.1495305164319249,0.022504045247270763,0.17994350282485877,0.02708113919586819,1.312693891785091,0.29835582086309353
v0_baseline,DEBATE5,GBT,20,0.5395384622388543,0.018026639975065473,0.14857499404908683,0.1471830985915493,0.017423071244869442,0.2361581920903955,0.027955662336400674,1.2958800952085208,0.23580326251470382
v0_baseline,DEBATE5,GBT,25,0.5395384622388543,0.018026639975065473,0.14857499404908683,0.14845070422535211,0.015752923725953275,0.2977401129943503,0.03159484702097975,1.3362528616080769,0.24081697310078223
v0_baseline,DEBATE5,GBT,30,0.5395384622388543,0.018026639975065473,0.14857499404908683,0.14647887323943662,0.014438352304020016,0.3525423728813559,0.03474993266391258,1.3330482394052487,0.23667710744418693
v0_baseline,DEBATE5,LogReg,1,0.5582228201241025,0.021926044867226702,0.16409248725148198,0.24,0.109009361688217,0.02033898305084746,0.009238081499001443,2.6221438924041225,1.3584523596368874
v0_baseline,DEBATE5,LogReg,5,0.5582228201241025,0.021926044867226702,0.16409248725148198,0.2176056338028169,0.03697580196825721,0.08728813559322034,0.014832101354498655,2.1100379818669976,0.4714550559483242
v0_baseline,DEBATE5,LogReg,10,0.5582228201241025,0.021926044867226702,0.16409248725148198,0.18274647887323942,0.026297642496959695,0.14661016949152544,0.021097543698125856,1.7028901577072353,0.33564127706545
v0_baseline,DEBATE5,LogReg,15,0.5582228201241025,0.021926044867226702,0.16409248725148198,0.17652582159624414,0.02134663064354049,0.21242937853107344,0.025688318232057212,1.6669318815172574,0.3063688222262127
v0_baseline,DEBATE5,LogReg,20,0.5582228201241025,0.021926044867226702,0.16409248725148198,0.1727112676056338,0.015600199964933358,0.2771186440677966,0.025030829322265965,1.6610533667260512,0.2447306006663196
v0_baseline,DEBATE5,LogReg,25,0.5582228201241025,0.021926044867226702,0.16409248725148198,0.16661971830985917,0.013594900050559714,0.334180790960452,0.027266607446037833,1.6206280210863997,0.23603620656828042
v0_baseline,DEBATE5,LogReg,30,0.5582228201241025,0.021926044867226702,0.16409248725148198,0.16068075117370892,0.012244410193883013,0.38672316384180794,0.029469597415786225,1.5741789596523863,0.23067941253894683
v0_baseline,DEBATE5,RF,1,0.5569517474972343,0.018917927757978036,0.16125543305466045,0.2533333333333333,0.09328319455274306,0.021468926553672316,0.007905355470571447,2.7717284596918326,1.4326515720592212
v0_baseline,DEBATE5,RF,5,0.5569517474972343,0.018917927757978036,0.16125543305466045,0.2049295774647887,0.036118772390530456,0.08220338983050848,0.014488321128404877,1.9475390077834576,0.45840087054953826
v0_baseline,DEBATE5,RF,10,0.5569517474972343,0.018917927757978036,0.16125543305466045,0.17676056338028168,0.024384379852032876,0.14180790960451978,0.019562609824794734,1.6240738662381715,0.31121934156568204
v0_baseline,DEBATE5,RF,15,0.5569517474972343,0.018917927757978036,0.16125543305466045,0.16619718309859155,0.02017313470134609,0.2,0.024276145149077496,1.5227211333898543,0.27005266771567615
