dataset,field,feature_set,model,n_test_mean,n_pos_mean,auc_mean,auc_std,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v0_baseline,GLOBAL,BIBLIO,LogReg,1418.0,177.0,0.7312243634393623,0.01925447035104476,0.3232394366197183,0.03456788028870872,0.2593220338983051,0.02773242373444428,4.242389315424316,0.8018875562295432
v0_baseline,GLOBAL,BIBLIO,RF,1418.0,177.0,0.7533832293075113,0.01878713089937763,0.36795774647887325,0.02480622655823384,0.2951977401129944,0.01990104051564524,5.4161110195155855,0.71791991541836
v0_baseline,GLOBAL,BIBLIO+DEBATE25,GBT,1418.0,177.0,0.7479203940689347,0.01582785013784651,0.3630281690140845,0.03267156675274189,0.29124293785310734,0.026211087451352248,5.30405091903809,0.9918919177475569
v0_baseline,GLOBAL,BIBLIO+DEBATE25,LogReg,1418.0,177.0,0.7324767706014377,0.01633591330675053,0.3154929577464789,0.02245631109920923,0.25310734463276835,0.01801579760501531,4.0237378513258255,0.5147748874373821
v0_baseline,GLOBAL,BIBLIO+DEBATE25,RF,1418.0,177.0,0.7515667609045011,0.01759218316244581,0.3658450704225352,0.028762738522685228,0.2935028248587571,0.023075191357182518,5.370037141491247,0.8767876292251744
v0_baseline,GLOBAL,BIBLIO+DEBATE5,GBT,1418.0,177.0,0.7491122522842433,0.015215725262020245,0.3704225352112676,0.02061398973355597,0.29717514124293787,0.016537777074378236,5.478216190041309,0.6246830249704262
v0_baseline,GLOBAL,BIBLIO+DEBATE5,LogReg,1418.0,177.0,0.7357618924049769,0.017443149784050618,0.32640845070422536,0.031015805382861524,0.26186440677966105,0.024882736521843713,4.306652931745093,0.7110582708976987
v0_baseline,GLOBAL,BIBLIO+DEBATE5,RF,1418.0,177.0,0.7540588280819642,0.01786945608270062,0.3669014084507042,0.02692780637516331,0.29435028248587575,0.021603098899848527,5.396101743432034,0.8604594667801135
v2a_y_anchored,01,BIBLIO,GBT,563.2,88.85,0.7370082335570236,0.0253504943518742,0.3789195672401962,0.056232747461816654,0.24215053268193798,0.03576201879882078,4.136443658060967,1.2542466087031094
v2a_y_anchored,01,BIBLIO,LogReg,563.2,88.85,0.7169428796333406,0.02160951529997011,0.3460789344794184,0.058346971933956784,0.22045692095844602,0.03248920784397952,3.458204775839852,0.9526436204058258
v2a_y_anchored,01,BIBLIO,RF,563.2,88.85,0.7454933014745886,0.020664614472215483,0.3631317609264202,0.06107415457914671,0.23154541919848737,0.034938537632656086,3.8030759867314856,1.1160105840372143
v2a_y_anchored,01,BIBLIO+DEBATE25,GBT,563.2,88.85,0.7430668780140822,0.023677331592913985,0.3785254743243023,0.06592525870531382,0.2419759221413309,0.04313678680932602,4.195034141790776,1.5640982093556577
