dataset,feature_set,model,seed,T_pct,auroc,auprc,precision,recall,f1,DOR,TP,FP,TN,FN,k
v0_baseline,BIBLIO+FOCAL6,RF,1,15,0.7677560924532338,0.3496856285448903,0.36619718309859156,0.4406779661016949,0.4,6.4425633703573215,78,135,1106,99,213
v0_baseline,BIBLIO+FOCAL6,RF,1,20,0.7677560924532338,0.3496856285448903,0.31690140845070425,0.5084745762711864,0.3904555314533623,5.570253396988615,90,194,1047,87,284
v0_baseline,BIBLIO+FOCAL6,GBT,1,5,0.7653796601064388,0.32844425200052185,0.4084507042253521,0.1638418079096045,0.23387096774193544,5.606694394929689,29,42,1199,148,71
v0_baseline,BIBLIO+FOCAL6,GBT,1,10,0.7653796601064388,0.32844425200052185,0.38028169014084506,0.3050847457627119,0.3385579937304075,5.7518012763329445,54,88,1153,123,142
v0_baseline,BIBLIO+FOCAL6,GBT,1,15,0.7653796601064388,0.32844425200052185,0.3192488262910798,0.384180790960452,0.34871794871794876,4.714352963329096,68,145,1096,109,213
v0_baseline,BIBLIO+FOCAL6,GBT,1,20,0.7653796601064388,0.32844425200052185,0.3204225352112676,0.5141242937853108,0.3947939262472885,5.731818792848501,91,193,1048,86,284
v0_baseline,BIBLIO+FOCAL6,XGB,1,5,0.7343995411027192,0.3127583634961352,0.38028169014084506,0.15254237288135594,0.21774193548387097,4.917130165366382,27,44,1197,150,71
v0_baseline,BIBLIO+FOCAL6,XGB,1,10,0.7343995411027192,0.3127583634961352,0.352112676056338,0.2824858757062147,0.3134796238244514,4.922077371489136,50,92,1149,127,142
v0_baseline,BIBLIO+FOCAL6,XGB,1,15,0.7343995411027192,0.3127583634961352,0.3286384976525822,0.3954802259887006,0.35897435897435903,5.020290089944089,70,143,1098,107,213
v0_baseline,BIBLIO+FOCAL6,XGB,1,20,0.7343995411027192,0.3127583634961352,0.29577464788732394,0.4745762711864407,0.3644251626898048,4.6945070478883,84,200,1041,93,284
v0_baseline,BIBLIO+FOCAL6,SVM,1,5,0.669539327223808,0.24946110969318394,0.36619718309859156,0.14689265536723164,0.20967741935483872,4.5997533819316,26,45,1196,151,71
v0_baseline,BIBLIO+FOCAL6,SVM,1,10,0.669539327223808,0.24946110969318394,0.2605633802816901,0.20903954802259886,0.23197492163009403,2.8752255822974817,37,105,1136,140,142
v0_baseline,BIBLIO+FOCAL6,SVM,1,15,0.669539327223808,0.24946110969318394,0.22535211267605634,0.2711864406779661,0.24615384615384617,2.4360601430087834,48,165,1076,129,213
v0_baseline,BIBLIO+FOCAL6,SVM,1,20,0.669539327223808,0.24946110969318394,0.21830985915492956,0.3502824858757062,0.2689804772234273,2.4794493895617493,62,222,1019,115,284
v0_baseline,BIBLIO+FOCAL6,FFN,1,5,0.7192623044109681,0.25621463664331046,0.30985915492957744,0.12429378531073447,0.1774193548387097,3.4858228588132123,22,49,1192,155,71
v0_baseline,BIBLIO+FOCAL6,FFN,1,10,0.7192623044109681,0.25621463664331046,0.3028169014084507,0.24293785310734464,0.26959247648902823,3.7136425622536473,43,99,1142,134,142
v0_baseline,BIBLIO+FOCAL6,FFN,1,15,0.7192623044109681,0.25621463664331046,0.27230046948356806,0.327683615819209,0.2974358974358974,3.420481911501567,58,155,1086,119,213
v0_baseline,BIBLIO+FOCAL6,FFN,1,20,0.7192623044109681,0.25621463664331046,0.2640845070422535,0.423728813559322,0.3253796095444685,3.630188020257291,75,209,1032,102,284
v0_baseline,BIBLIO,LogReg,2,5,0.7041250677192168,0.2696372648468214,0.39436619718309857,0.15819209039548024,0.22580645161290322,5.252335370776151,28,43,1198,149,71
v0_baseline,BIBLIO,LogReg,2,10,0.7041250677192168,0.2696372648468214,0.33098591549295775,0.2655367231638418,0.2946708463949843,4.369721770877214,47,95,1146,130,142
v0_baseline,BIBLIO,LogReg,2,15,0.7041250677192168,0.2696372648468214,0.3051643192488263,0.3672316384180791,0.33333333333333337,4.287272727272727,65,148,1093,112,213
v0_baseline,BIBLIO,LogReg,2,20,0.7041250677192168,0.2696372648468214,0.28169014084507044,0.4519774011299435,0.3470715835140998,4.188765594633566,80,204,1037,97,284
v0_baseline,BIBLIO,RF,2,5,0.7283628566355727,0.3267182301882699,0.4507042253521127,0.1807909604519774,0.25806451612903225,6.799991300187046,32,39,1202,145,71
