subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,DOR_mean,DOR_std,n_obs
58,var_conf_pro+delta_H+prediction_volatility,3,15,0.29124,0.04186,0.35047,0.05037,4.03413,1.13682,30
58,var_conf_pro+delta_H+prediction_volatility,3,20,0.26667,0.03096,0.42787,0.04967,3.81556,0.9647,30
59,var_conf_pro+semantic_coherence+prediction_volatility,3,5,0.38685,0.07283,0.15518,0.02922,5.32542,1.88695,30
59,var_conf_pro+semantic_coherence+prediction_volatility,3,10,0.32934,0.05204,0.26422,0.04175,4.4851,1.3433,30
59,var_conf_pro+semantic_coherence+prediction_volatility,3,15,0.29609,0.04033,0.35631,0.04853,4.15617,1.07861,30
59,var_conf_pro+semantic_coherence+prediction_volatility,3,20,0.27136,0.03119,0.4354,0.05005,3.96026,0.93317,30
60,H_final+delta_H+semantic_coherence,3,5,0.39624,0.07632,0.15895,0.03061,5.59197,2.07694,30
60,H_final+delta_H+semantic_coherence,3,10,0.33521,0.04677,0.26893,0.03752,4.60497,1.2207,30
60,H_final+delta_H+semantic_coherence,3,15,0.30016,0.0383,0.36121,0.04609,4.26109,1.05609,30
60,H_final+delta_H+semantic_coherence,3,20,0.27817,0.03199,0.44633,0.05133,4.19208,1.00563,30
61,H_final+delta_H+prediction_volatility,3,5,0.37136,0.07466,0.14896,0.02995,4.95261,1.76603,30
61,H_final+delta_H+prediction_volatility,3,10,0.31995,0.04999,0.25669,0.04011,4.23612,1.20082,30
