subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,DOR_mean,DOR_std,n_obs
45,cross_domain_attack+conf_gap_change+H_final+delta_H,4,20,0.26878,0.02802,0.43126,0.04496,0.33116,0.03453,3.86292,0.86717,120
46,cross_domain_attack+conf_gap_change+H_final+semantic_coherence,4,5,0.38345,0.07171,0.15381,0.02877,0.21956,0.04106,5.23093,1.76359,120
46,cross_domain_attack+conf_gap_change+H_final+semantic_coherence,4,10,0.32465,0.05266,0.26045,0.04224,0.28903,0.04688,4.37297,1.31835,120
46,cross_domain_attack+conf_gap_change+H_final+semantic_coherence,4,15,0.29476,0.03888,0.35471,0.04679,0.32197,0.04247,4.11434,1.05061,120
46,cross_domain_attack+conf_gap_change+H_final+semantic_coherence,4,20,0.27286,0.03103,0.43781,0.04979,0.33619,0.03824,4.01458,0.98322,120
47,cross_domain_attack+conf_gap_change+delta_H+semantic_coherence,4,5,0.38181,0.06849,0.15315,0.02747,0.21862,0.03921,5.17069,1.68611,120
47,cross_domain_attack+conf_gap_change+delta_H+semantic_coherence,4,10,0.32899,0.04832,0.26394,0.03876,0.29289,0.04302,4.45448,1.20353,120
47,cross_domain_attack+conf_gap_change+delta_H+semantic_coherence,4,15,0.29671,0.03541,0.35706,0.04262,0.3241,0.03868,4.1491,0.97052,120
47,cross_domain_attack+conf_gap_change+delta_H+semantic_coherence,4,20,0.27289,0.02939,0.43785,0.04715,0.33623,0.03621,4.00124,0.90324,120
48,cross_domain_attack+var_conf_pro+H_final+delta_H,4,5,0.373,0.0732,0.14962,0.02936,0.21358,0.04191,4.9905,1.7558,120
48,cross_domain_attack+var_conf_pro+H_final+delta_H,4,10,0.31731,0.05047,0.25457,0.04049,0.2825,0.04493,4.17753,1.19104,120
48,cross_domain_attack+var_conf_pro+H_final+delta_H,4,15,0.28932,0.0395,0.34816,0.04753,0.31603,0.04314,3.96734,1.03494,120
