T_pct,seed,feature,mean_abs_shap
5,12,MF_F02B33,0.037497375160455704
5,12,MF_F02D23,0.02232101559638977
5,12,MF_F02B37,0.08832193911075592
5,12,MF_F02M25,0.048065248876810074
5,12,MF_F01N3,0.0
5,12,MF_F02M37,0.025218380615115166
5,12,MF_F02N11,0.017393819987773895
5,12,MF_F01L1,0.0
5,12,MF_B60K6,0.01979130506515503
5,12,MF_other,0.06417630612850189
5,12,var_conf_pro,0.28802090883255005
5,12,H_final,0.36661744117736816
5,12,delta_H,0.5246194005012512
5,12,conf_gap_change,0.3735288381576538
5,12,cross_domain_attack,0.4179190397262573
5,12,semantic_coherence,0.5097911357879639
5,13,CTO,0.35385316610336304
5,13,STO,0.418796181678772
5,13,PK,0.5767024755477905
5,13,SK,0.31886518001556396
5,13,TCT,0.8190913796424866
5,13,TS,0.4556731879711151
5,13,NC,0.3047449588775635
5,13,COL,0.029728008434176445
5,13,INV,0.2468031495809555
5,13,TKH,0.3124316930770874
5,13,CKH,0.4454571306705475
5,13,PKH,0.425272136926651
5,13,TTS,0.29973694682121277
5,13,CTS,0.3981640338897705
5,13,PTS,0.23483958840370178
5,13,MF_F02D41,0.20166979730129242
5,13,MF_F02B33,0.026919124647974968
5,13,MF_F02D23,0.029390202835202217
5,13,MF_F02B37,0.07395761460065842
5,13,MF_F02M25,0.04005787894129753
5,13,MF_F01N3,0.0
5,13,MF_F02M37,0.02932751178741455
5,13,MF_B60K6,0.002598460065200925
5,13,MF_F02P5,0.0
5,13,MF_F02N11,0.02671625465154648
5,13,MF_other,0.07062473148107529
5,13,var_conf_pro,0.2955554127693176
5,13,H_final,0.43285083770751953
5,13,delta_H,0.5177255272865295
5,13,conf_gap_change,0.37046489119529724
5,13,cross_domain_attack,0.4182703495025635
5,13,semantic_coherence,0.5390568375587463
5,14,CTO,0.37738049030303955
5,14,STO,0.42888301610946655
5,14,PK,0.6546452045440674
5,14,SK,0.326957643032074
5,14,TCT,0.743478000164032
5,14,TS,0.4651661813259125
5,14,NC,0.3290300965309143
5,14,COL,0.014079012908041477
5,14,INV,0.2189931869506836
5,14,TKH,0.2806321084499359
5,14,CKH,0.5642340779304504
5,14,PKH,0.28570032119750977
5,14,TTS,0.3026201128959656
5,14,CTS,0.5130735635757446
5,14,PTS,0.2645696699619293
5,14,MF_F02D41,0.14140495657920837
5,14,MF_F02B33,0.018986554816365242
5,14,MF_F02D23,0.05611240491271019
5,14,MF_F02B37,0.0704706683754921
5,14,MF_F02M25,0.03458806127309799
5,14,MF_F01N3,0.0
5,14,MF_F02M37,0.03985759988427162
5,14,MF_B60K6,0.002595690544694662
5,14,MF_F02N11,0.00857322383671999
5,14,MF_F02B75,0.006054396741092205
5,14,MF_other,0.058776989579200745
5,14,var_conf_pro,0.32827264070510864
5,14,H_final,0.5988176465034485
5,14,delta_H,0.3867059350013733
5,14,conf_gap_change,0.3634985685348511
5,14,cross_domain_attack,0.35456401109695435
5,14,semantic_coherence,0.4905432462692261
5,15,CTO,0.3079385757446289
5,15,STO,0.35552215576171875
5,15,PK,0.5516664385795593
5,15,SK,0.3079693019390106
5,15,TCT,0.7980237603187561
5,15,TS,0.4691656529903412
5,15,NC,0.3056338131427765
5,15,COL,0.003876936389133334
5,15,INV,0.2257753312587738
5,15,TKH,0.3022207021713257
5,15,CKH,0.4552363157272339
5,15,PKH,0.33429205417633057
5,15,TTS,0.28517767786979675
5,15,CTS,0.5496112108230591
5,15,PTS,0.42053458094596863
5,15,MF_F02D41,0.1138724833726883
5,15,MF_F02B33,0.02878103218972683
5,15,MF_F02D23,0.03580774366855621
5,15,MF_F02B37,0.05749368667602539
5,15,MF_F02M25,0.02478906139731407
5,15,MF_F01N3,0.006105365231633186
5,15,MF_F02M37,0.015869854018092155
5,15,MF_F02N11,0.01762745901942253
5,15,MF_B60K6,0.0
5,15,MF_F02M21,0.017144886776804924
5,15,MF_other,0.06755279004573822
5,15,var_conf_pro,0.30126792192459106
5,15,H_final,0.4982622265815735
5,15,delta_H,0.5037072896957397
5,15,conf_gap_change,0.36250215768814087
5,15,cross_domain_attack,0.3203652799129486
5,15,semantic_coherence,0.6433601975440979
5,16,CTO,0.40187251567840576
5,16,STO,0.42493942379951477
5,16,PK,0.5290420055389404
5,16,SK,0.34802910685539246
5,16,TCT,0.7759860754013062
5,16,TS,0.4521264135837555
5,16,NC,0.3183823823928833
5,16,COL,0.014233130030333996
5,16,INV,0.1781824380159378
5,16,TKH,0.4185086786746979
5,16,CKH,0.5040408968925476
5,16,PKH,0.4083331525325775
5,16,TTS,0.19273893535137177
5,16,CTS,0.5407438278198242
5,16,PTS,0.22687828540802002
5,16,MF_F02D41,0.15227355062961578
5,16,MF_F02B33,0.04148336872458458
5,16,MF_F02D23,0.04784192517399788
5,16,MF_F02B37,0.07070545852184296
5,16,MF_F02M25,0.03587738424539566
5,16,MF_F01N3,0.0022557510528713465
5,16,MF_F02M37,0.030399896204471588
5,16,MF_F02N11,0.025844942778348923
5,16,MF_B60K6,0.0
5,16,MF_F01L1,0.0
5,16,MF_other,0.08040774613618851
5,16,var_conf_pro,0.35967859625816345
5,16,H_final,0.46481913328170776
5,16,delta_H,0.44571593403816223
5,16,conf_gap_change,0.4118124544620514
5,16,cross_domain_attack,0.2685733139514923
5,16,semantic_coherence,0.4812527000904083
5,17,CTO,0.3830341398715973
5,17,STO,0.4668251574039459
5,17,PK,0.6293787360191345
5,17,SK,0.36936286091804504
5,17,TCT,0.7893951535224915
5,17,TS,0.4622386395931244
5,17,NC,0.27013200521469116
5,17,COL,0.009443731978535652
5,17,INV,0.22289448976516724
5,17,TKH,0.3431565761566162
5,17,CKH,0.4495193660259247
5,17,PKH,0.2350098192691803
5,17,TTS,0.24529863893985748
5,17,CTS,0.36136510968208313
5,17,PTS,0.3108411431312561
5,17,MF_F02D41,0.13769297301769257
5,17,MF_F02B33,0.02185603603720665
5,17,MF_F02D23,0.022617822512984276
5,17,MF_F02B37,0.07482746988534927
5,17,MF_F02M25,0.04563717171549797
5,17,MF_F01N3,0.01758674904704094
5,17,MF_F02M37,0.02722836285829544
5,17,MF_B60K6,0.0
5,17,MF_F02N11,0.024686522781848907
5,17,MF_F01L1,0.0
5,17,MF_other,0.06419074535369873
5,17,var_conf_pro,0.27331486344337463
5,17,H_final,0.5990095734596252
5,17,delta_H,0.5128944516181946
5,17,conf_gap_change,0.33777764439582825
5,17,cross_domain_attack,0.2884846031665802
5,17,semantic_coherence,0.5461517572402954
5,18,CTO,0.35700830817222595
5,18,STO,0.36896616220474243
5,18,PK,0.6005250811576843
5,18,SK,0.324480265378952
5,18,TCT,0.8268099427223206
5,18,TS,0.46464136242866516
5,18,NC,0.2633998692035675
5,18,COL,0.008525945246219635
5,18,INV,0.20528380572795868
5,18,TKH,0.33506831526756287
5,18,CKH,0.5883219838142395
5,18,PKH,0.25331544876098633
5,18,TTS,0.31002408266067505
5,18,CTS,0.4576868712902069
5,18,PTS,0.4093177318572998
5,18,MF_F02D41,0.10939013957977295
5,18,MF_F02B33,0.017731618136167526
