AUROC,AUPRC,Precision,Recall,F1,Accuracy,DOR,TP,FP,FN,TN,field,T_pct,Y_rate_pct,seed,config,model,n_train,n_test,Y_pos_train,Y_pos_test
0.7144078089154784,0.2042995286758499,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,7,+6focal,SVM,2236,560,171,43
0.6568755341640051,0.14746274950776656,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,7,+6focal,FFN,2236,560,171,43
0.7403400656740589,0.25735264758431026,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,8,BIBLIO,RF,2236,560,171,43
0.7573208582609868,0.19781434612369145,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,8,BIBLIO,GBT,2236,560,171,43
0.7106293014259367,0.21017113467102946,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,8,BIBLIO,XGB,2236,560,171,43
0.7414421303585084,0.22220556588352794,0.14285714285714285,0.09302325581395349,0.11267605633802817,0.8875,2.294755877034358,4,24,39,493,01,5,7.65,8,BIBLIO,LogReg,2236,560,171,43
0.6532319733705187,0.2019713074884576,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,8,BIBLIO,SVM,2236,560,171,43
0.7181413341730016,0.2042875750119338,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,8,BIBLIO,FFN,2236,560,171,43
0.7543295398317664,0.22807303332473272,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,8,+6focal,RF,2236,560,171,43
0.7632135306553911,0.18352196424292389,0.21428571428571427,0.13953488372093023,0.16901408450704225,0.8946428571428572,3.8171851851851852,6,22,37,495,01,5,7.65,8,+6focal,GBT,2236,560,171,43
0.7216499482704332,0.18772158462900929,0.2857142857142857,0.18604651162790697,0.22535211267605634,0.9017857142857143,5.810717966334593,8,20,35,497,01,5,7.65,8,+6focal,XGB,2236,560,171,43
0.7642031397597948,0.19855092577565003,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,8,+6focal,LogReg,2236,560,171,43
0.6812109216859341,0.18212330717734448,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,8,+6focal,SVM,2236,560,171,43
0.6212496064054698,0.11018557440070681,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,8,+6focal,FFN,2236,560,171,43
0.7641581575277765,0.2689801031362966,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,9,BIBLIO,RF,2236,560,171,43
0.738968107597499,0.227740975886281,0.32142857142857145,0.20930232558139536,0.2535211267605634,0.9053571428571429,7.039390561129691,9,19,34,498,01,5,7.65,9,BIBLIO,GBT,2236,560,171,43
0.6753632315235482,0.18776640470026004,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,9,BIBLIO,XGB,2236,560,171,43
0.7257883136161216,0.17048298036122736,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,9,BIBLIO,LogReg,2236,560,171,43
